Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg
eilirjani,Lifestyle,,9500000,Albania,423900,611600
riyadmahrez26.7,Sports with a ball,,8500000,Algeria,333900,429900
leomessi,Sports with a ball,Family,315400000,Argentina,4000000,5300000
daddyyankee,Music,,44900000,Argentina,1300000,1800000
paulolondra,Music,,12600000,Argentina,1200000,1900000
antonelaroccuzzo,Modeling,Family,19000000,Argentina,970700,1600000
bizarrap,Music,,11500000,Argentina,920800,1100000
nicki.nicole,Music,,11500000,Argentina,876200,1300000
evaluna,Family,Music,19800000,Argentina,812100,1100000
paulodybala,Sports with a ball,,45800000,Argentina,662900,1100000
tinistoessel,Music,,17400000,Argentina,631400,844700
dukissj,Music,,9000000,Argentina,607200,1100000
emiliamernes,Music,,4900000,Argentina,549500,1000000
trueno,Music,,6700000,Argentina,479200,745700
kunaguero,Sports with a ball,,22400000,Argentina,458400,794500
litkillah,Music,,7200000,Argentina,438700,578400
cazzu,Music,,9800000,Argentina,396200,508000
wos.ds3,Music,,6300000,Argentina,371200,567400
tiagopzk,Music,,4300000,Argentina,333400,761600
mariabecerra,Music,,8600000,Argentina,332300,785000
angeldimariajm,Sports with a ball,,16300000,Argentina,294600,434100
camilo,Music,,26400000,Argentina,252300,398900
sebastianyatra,Music,Art/Artists,29300000,Argentina,219300,305600
ricky_martin,Music,,16700000,Argentina,141200,190400
harrystyles,Music,Fashion,43300000,Brazil,2900000,3900000
taylorswift,Music,,204700000,Brazil,2300000,3100000
milliebobbybrown,Cinema & Actors/actresses,,48200000,Brazil,2100000,2700000
ursulolita,Cinema & Actors/actresses,Modeling,24600000,Brazil,2000000,2900000
jungkook_bighitentertainment,Management & Marketing,Music,9900000,Brazil,1800000,2000000
jenniferaniston,Cinema & Actors/actresses,,40100000,Brazil,1600000,2300000
neymarjr,Sports with a ball,,172000000,Brazil,1600000,2300000
lilireinhart,Cinema & Actors/actresses,,29000000,Brazil,1500000,2200000
virginia,Shows,Lifestyle,35800000,Brazil,1400000,2100000
noahschnapp,Cinema & Actors/actresses,,20100000,Brazil,1300000,1700000
sadiesink_,Modeling,Lifestyle,15300000,Brazil,1200000,1700000
louist91,Music,,18200000,Brazil,1100000,1500000
camimendes,Cinema & Actors/actresses,,26800000,Brazil,1100000,1600000
sabrinacarpenter,Music,,27100000,Brazil,1100000,1300000
miguel.g.herran,Cinema & Actors/actresses,,14200000,Brazil,998200,1500000
jacobelordi,Cinema & Actors/actresses,,13200000,Brazil,997400,1600000
whinderssonnunes,Humor & Fun & Happiness,,57900000,Brazil,988300,1500000
littlebodybigheart,Music,,11100000,Brazil,913100,1200000
vinijr,Sports with a ball,,15800000,Brazil,909400,1500000
lewishamilton,Racing Sports,,27500000,Brazil,819900,1200000
shawnmendes,Music,,67400000,Brazil,809300,1200000
henrycavill,Cinema & Actors/actresses,,19700000,Brazil,795100,966500
larasilva,Shows,Adult content,16800000,Brazil,789000,1200000
conangray,Music,,5700000,Brazil,785400,1200000
nina,Cinema & Actors/actresses,,25500000,Brazil,778500,1100000
bambam1a,Music,,16000000,Brazil,684300,863000
iammichelemorroneofficial,Lifestyle,Cinema & Actors/actresses,12900000,Brazil,654100,938900
paulwesley,Cinema & Actors/actresses,,12200000,Brazil,640000,958000
amybethmcnulty,Lifestyle,Cinema & Actors/actresses,6300000,Brazil,561400,771300
jaybnow.hr,Music,,6600000,Brazil,561300,731700
anitta,Music,,61100000,Brazil,542800,1000000
joeyking,Music,Cinema & Actors/actresses,19100000,Brazil,541100,774100
perrieedwards,Modeling,,14500000,Brazil,523100,816700
gianlucavacchi,Lifestyle,,22200000,Brazil,511400,787200
loud_victor,Lifestyle,Sports with a ball,10400000,Brazil,511200,652300
brunamarquezine,Cinema & Actors/actresses,,42600000,Brazil,485200,837200
taina,Music,,15600000,Brazil,478300,998900
phil.coutinho,Sports with a ball,,24500000,Brazil,456200,740900
gatenm123,Music,Cinema & Actors/actresses,13600000,Brazil,449500,594100
carlinhosmaiaof,Lifestyle,,24800000,Brazil,441900,810700
vindiesel,Cinema & Actors/actresses,,79000000,Brazil,440500,568500
